ticker,shares,avg_cost,purchase_date,account,portfolio,notes
REXC,50,21.78,27-May-26,Brokerage,Speculative,
OKLO,3.15781,63.4,21-May-26,Brokerage,Speculative,
NVDA,3,188.12,,Brokerage,Speculative,
NLR,3.43136,131.28,21-May-26,Brokerage,Speculative,
MP,11.48667,64.29,27-May-26,Brokerage,Speculative,
LEU,2.56212,175.33,27-May-26,Brokerage,Speculative,
BWXT,2.96354,202.68,21-May-26,Brokerage,Speculative,
ATI,1.25,168.03,29-May,Brokerage,Speculative,
UUUU,8.20925,17.68,29-May,Brokerage,Speculative,
VUG,13.11973,85.61,,Brokerage,Growth ETFs,
VTI,6.38858,361.19,,Brokerage,Growth ETFs,
VNQ,3.02779,96.04,,Brokerage,Growth ETFs,
VGIT,17.13873,59.38,,Brokerage,Growth ETFs,
VEA,19.0314,70.8,,Brokerage,Growth ETFs,
VBK,2.27279,345.76,,Brokerage,Growth ETFs,
SGOV,4.77475,100.78,,Brokerage,Growth ETFs,
SCHP,10.81894,26.88,,Brokerage,Growth ETFs,
JEPQ,9.65173,58.79,,Brokerage,Growth ETFs,
IEMG,13.20189,77.67,,Brokerage,Growth ETFs,
AVUV,9.30425,120.72,,Brokerage,Growth ETFs,
AVEM,7.64418,89.36,,Brokerage,Growth ETFs,
AVDV,6.00545,108.35,,Brokerage,Growth ETFs,
